entry	HITS	KUDOS	TAGS	ID_NUMBER	TEXT	TITLE	WORDCOUNT	MAINTAG	SUMMARY	COMMENTS	DATE	BOOKMARKS
0	13	2	No Archive Warnings Apply,Gen,The Avengers (TV 1961),Emma Peel,Tattoos,	17681711	"""Not to my tastes for myself,"" Emma said, even as she accepted the invitation to inspect the art on the Tattooed Woman's back. ""But I can admire those who take the time to endure the process, and become a canvas of art for posterity.""  ""I suppose in your line of work, it would mark you out too much.""  ""Indeed."" Emma studied the most recent additions, and what she'd been looking for. ""Thank you, miss. Your latest artist did leave a clue for me in this.""  ""Glad to help,"" the woman answered, before pulling her robe on and seeing Emma out. "	Inked Clue	100	General Audiences	Emma is working a mystery that leads to a Tattooed Lady. (snippet scene) 	0	2019-02-06	0
1	4	0	No Archive Warnings Apply,M/M,Hetalia: Axis Powers,China/Russia (Hetalia),Russia (Hetalia),China (Hetalia),2P China (Hetalia),2P Russia (Hetalia) - Freeform,2P Hetalia,	17680817	'You don't strike me as a criminal.' Viktor stated, his tone surprisingly calm and collected for someone who just witnessed their boyfriend order two men to ‘deal with someone.'  Jia glanced up from the paperwork on his desk, his magenta coloured eyes meeting the Russian's maroon ones. His face adopted a lazy smile, leaning back in his chair slightly. 'Well,' Jia purred. 'That's what makes me so good at it.'  Viktor paused. He inhaled, slightly taken aback at how laidback the Asian was about the whole situation. How calm and lax he was. Like it was all normal.  The worst thing, however, was that Viktor knew that Jia was right. 	Secret	110	General Audiences	2p Russia = Viktor 2p China = Jia 	0	2019-02-06	0
2	47	5	Creator Chose Not To Use Archive Warnings,M/M,Stargate Atlantis,Rodney McKay/John Sheppard,Rodney McKay,John Sheppard,Valentine Day,Banners &amp; Icons,Banners,	17680601	 Big size https://image.noelshack.com/fichiers/2019/06/3/1549454730-01.jpg         Big size https://image.noelshack.com/fichiers/2019/06/3/1549454729-03.jpg     Big size https://image.noelshack.com/fichiers/2019/06/3/1549454729-04.jpg     Big size https://image.noelshack.com/fichiers/2019/06/3/1549454729-05.jpg     Big size https://image.noelshack.com/fichiers/2019/06/3/1549454729-06.jpg     Big size https://image.noelshack.com/fichiers/2019/06/3/1549455010-07.jpg     Big size https://image.noelshack.com/fichiers/2019/06/3/1549455010-08.jpg     Big size https://image.noelshack.com/fichiers/2019/06/3/1549455010-09.jpg     Big size https://image.noelshack.com/fichiers/2019/06/3/1549455010-10.jpg 	Mcshep Valentine Day 2019	120	General Audiences	It's been a while since i did arts. For the next Valentine day, special mcshep. 	0	2019-02-06	1
3	30	3	No Archive Warnings Apply,Other,Venom (Movie 2018),Riot,Old lady Riot host,Character Study,gay love can pierce the veil of death and save the day,background symbrock,what was Riot doing for six months though,seriously,Podfic,Podfic Length: 10-20 Minutes,	17679227	" Title: Six Months Missing   Fandom:  Venom  Author:  xzombiexkittenx   Reader:   Litra    Pairing:  gen   Rating:  gen   Length:  10:34  Summary:  Riot lives in the old woman for six months. This is a small piece about their relationship.  "" Good luck with that , she tells Riot.  Seven billion people, supers, gods, and monsters. And you are alien hagfish slime, allergic to oxygen.   Riot doesn't like being insulted. It roars in her head but she's been yelled at before and hasn't been afraid of shouting in a long time. There are much worse things than a raised voice, and the dog that barks the loudest doesn't always bite hardest.    We are not a dog!  Riot snarls.   No,  Alya agrees.  A dog can survive on its own. ""     The original work can be found  Here      Right click to  Download    "	Six Months Missing [podfic]	132	General Audiences	"Riot lives in the old woman for six months. This is a small piece about their relationship.  ""Good luck with that, she tells Riot. Seven billion people, supers, gods, and monsters. And you are alien hagfish slime, allergic to oxygen.  Riot doesn't like being insulted. It roars in her head but she's been yelled at before and hasn't been afraid of shouting in a long time. There are much worse things than a raised voice, and the dog that barks the loudest doesn't always bite hardest.   We are not a dog! Riot snarls.  No, Alya agrees. A dog can survive on its own."" "	0	2019-02-06	0
4	9	1	Creator Chose Not To Use Archive Warnings,F/M,殺戮の天使 | Satsuriku no Tenshi | Angels of Death (Manga),殺戮の天使 | Satsuriku no Tenshi | Angels of Death (Anime),Isaac &quot;Zack&quot; Foster/Rachel Gardner,Isaac &quot;Zack&quot; Foster &amp; Rachel Gardner,Isaac &quot;Zack&quot; Foster,Rachel Gardner,Angels of Death,	17679212	"""You idiot!"" Ray shouted as she slapped him, tears starting to form in her eyes.  Zack looked shocked. His eyes were wide open, staring at Ray with a concerned look.  Ray didn't give a chance for Zack to respond. She continued.  ""Why did you go out without me?! You know how the police are these days! Posters of you are everywhere, Zack! Anyone could just spot you walking in an alley and report you to the police!""  ""Why're you so stupid?!"" Ray scolded.  ""H-hey Ray..."" Zack walked towards Ray, wrapping his arms around her.  Ray sniffled into Zack's hoodie.  ""Wh-what..""  ""What am I to do i-if you're not around?"" Ray sobbed.  ""How can I take care of myself when you're not here?""  She hugged Zack.  ""I-I'm sorry, alright?"" Zack pushed his nose into her golden hair.  He put his fingers under her chin and lifted her head up so that she was looking at him. He had to say something to lighten up the mood.  He stared into her blue eyes.  ""Wanna get something to eat?""  Ray smiled and nodded.  ""O-of course "	I'm Worried For You	182	General Audiences	A one-shot that I thought of somehow. 	0	2019-02-06	0
5	0	0	No Archive Warnings Apply,Lady and the Tramp (1955),Angel (Disney: Lady and the Tramp),Oneshot,Older pet,Rehomed,Post-Canon,	17678804	Angels' chosen to ignore the lack of a collar, bitter as it makes her. They put around her neck a pink ribbon. She's had such before, it's not new. She should feel happy to have it, wag her tail, look cute, but she can't bring herself to.   Everyone around her has a collar, older, younger, they all bear it. She does not.  These people – Jim dear and Darling. They talk to her like a puppy. Like a child. Like she's some young dog. She hates it, bares teeth at it, then is reminded this is her last shot.  Angel doesn't believe a chance will come after this. Angel knows her luck.  She can't go back to Buster now, either.  She hears talk, people speak of money and coins. She's seen the flat, shiny objects, they mean nothing to her or dogs, but she knows they effect how many things a person can have, dogs included.  Still, she feels she should be grateful.  But Angel also feels she can't trust these people. 	Not a Pup	171	General Audiences	Idk, felt like writing something for the fandom. Might write more. I don't really like Angel. 	0	2019-02-06	0
6	2	1	No Archive Warnings Apply,Gen,Mad Max Series (Movies),Original Characters - Freeform,No Canon Characters Appear,	17678360	Deltas are women, sisters, daughters, Girls with blackened eyes and split knuckles. Deltas break windows, noses, and hearts, Their teeth are crooked, their jeans are torn. Deltas were all cast aside for another, They belong only to themselves now. Deltas are dirty fingernails and bloody noses, Cigarette ash and whiskey breath. Deltas drifted together and held on tight, They scream at the sky over the roaring ocean. Deltas bury past husbands and lovers, They don't step around, they walk right over you. Deltas glare from the dark with shining eyes, A clowder of cats, a pack of wolves. Deltas come and go as they please Don't ask them where they've been. Deltas are hellions and goblins, they are the moon, They are the color red, they are poisonous flowers. Deltas are women, sisters, daughters, Deltas answer to none. 	Deltas	138	General Audiences	A sort-of poem about an all female bikie gang making their own rules on the Transcon One. 	1	2019-02-06	0
7	4	1	No Archive Warnings Apply,F/F,Deus Ex: Invisible War,Alex Denton/Billie Adams,Billie Adams,Regret,suppressed longing,Femslash February 2019,Ficlet,	17677109	The red candles burn heavy in the main halls. The wax spills over and burns her hands. It chokes with the sting but it at least it keeps her present. At least it keeps her away from those other times. Keeps her from drowning in the memories.  Sneaking to Alex's quarters. Laying her head down in Alex's lap. Alex reading out the latest chapter of her latest shitty romance novel.    Alex, when she believed in happy endings.  Alex never understood, though. There's only ever been one gift you can give someone you love.  And when the time comes-  She jumps. 	icarus	110	General Audiences	Alex believed in happy endings, once. 	0	2019-02-06	0
8	26	0	Creator Chose Not To Use Archive Warnings,Newsies - All Media Types,Racetrack Higgins,David Jacobs,Jack Kelly,Kloppman,	17676974	David hadn't made up his mind on what to think of Racer. The other guys seemed to have warmed up to him, but Racer was a mystery.  He hoped that would change, but the strike had been over for a couple of weeks and he still was no closer to the blonde.  'I really should go home.' David told Jack, even as he followed the other boy to the Boarding House.  'Nonsense!' Jack replied, 'Stay for a bit.  We've all been to yours, but you've been been to where we live.'  David didn't bother arguing as Jack pulled him into the building.  'Kelly, you're later than usually,' Mr. Kloppman greeted. Turning his gaze to David, he asked, 'Who's the boy with the big head?  He looks like a toothpick with a watermelon on top of it.'  Racer, who had been coming down the stairs, burst out laughing.  When he noticed the blank looks on Jack and David's face, he asked, 'Are we going to pretend that wasn't funny?'  'Were are you going?' Jack asked as the blonde headed back to the door.  'I'll be back by bell.' was all the younger boy said before closing the door behind him. 	Mystery	199	General Audiences	David feels like he knows all the boys pretty well, with the exception of Racer. 	0	2019-02-06	0
9	35	1	Creator Chose Not To Use Archive Warnings,F/M,Harry Potter - J. K. Rowling,Hermione Granger/Oliver Wood,Hermione Granger,Oliver Wood,Fred Weasley,George Weasley,	17676041	Fred and George were leaning against the wall of the parlor in Grimmauld Place, watching as Hermione spoke to Oliver Wood on the other side of the room.  She looked amazing, so much lighter than did with the pressure of of school and the war on her.  'I don't get it,' George took a gulp of his fire whiskey, 'two red-headed gods and she picks Oliver Wood.  Maybe she feels sorry for him'  'No,' Fred replied as Hermione threw her head back, laughing at whatever the rising Quidditch star had said, 'she doesn't know him the way we do.'  'She looks happy.' George responded, 'Happier than I've ever seen her.'  'Well, she no longer has to get Ronald passing grades.' Fred laughed dryly, 'They look good together.'  'We gotta make sure he doesn't screw this up.'   'That's asking a lot,' Fred grinned, 'Remember the last one?'  'None of his past girls were anywhere close to Hermione's caliber. She's special, unique.'  'Terrifying.'  'Beautiful.'  'Intelligent.'  'Funny.'  'Everything he could want.' Fred nodded, 'Yup, he will definitely need our help.'  'Tomorrow.' George responded, the twins watching as Hermione left the room and Oliver followed right her. 	Tomorrow	193	General Audiences	The twins decide that Oliver will need their help when it comes to starting and maintaining a relationship with Hermione. 	0	2019-02-06	0
